rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore,E_Penalty,event
1.0,209,WHITLOCK Max,GBR,6.7,8.266,,14.966,8.265999999999998,ph
2.0,157,XIAO Ruoteng,CHN,6.1,8.533,,14.633,8.533,ph
3.0,277,KURBANOV Nariman,KAZ,6.2,8.266,,14.466,8.265999999999998,ph
4.0,204,TOMMASONE Cyril,FRA,6.1,8.141,,14.241,8.141,ph
5.0,378,MIKULAK Samuel,USA,6.0,8.133,,14.133,8.133,ph
6.0,334,NAGORNYY Nikita,RUS,5.9,8.1,,14,8.1,ph
7.0,330,BELYAVSKIY David,RUS,6.2,7.8,,14,7.8,ph
8.0,359,LEE Chih Kai,TPE,5.7,8.0,,13.7,7.999999999999999,ph
9.0,346,HEGI Oliver,SUI,5.3,8.2,,13.5,8.2,ph
10.0,284,PARK Minsoo,KOR,5.4,8.1,,13.5,8.1,ph
11.0,140,BARRETTO JUNIOR Francisco,BRA,5.6,7.9,,13.5,7.9,ph
12.0,156,SUN Wei,CHN,5.6,7.841,,13.441,7.841000000000001,ph
13.0,349,MICHNAK Slavomir,SVK,6.0,7.332999999999999,,13.333,7.333,ph
14.0,116,REMKES Christopher,AUS,5.9,7.132999999999999,,13.033,7.132999999999999,ph
15.0,208,HALL James,GBR,6.0,7.0329999999999995,,13.033,7.0329999999999995,ph
16.0,258,MACCHINI Carlo,ITA,5.3,7.7,,13,7.7,ph
17.0,170,UDE Filip,CRO,6.2,6.8,,13,6.8,ph
18.0,274,AZIZOV Ilyas,KAZ,5.4,7.566,,12.966,7.565999999999999,ph
18.0,344,BRAEGGER Pablo,SUI,5.4,7.566,,12.966,7.565999999999999,ph
20.0,269,SHIRAI Kenzo,JPN,5.5,7.466,,12.966,7.465999999999999,ph
21.0,273,UCHIMURA Kohei,JPN,6.0,6.966,,12.966,6.965999999999999,ph
22.0,332,KUKSENKOV Nikolai,RUS,6.4,6.566,,12.966,6.565999999999999,ph
23.0,373,PAKHNIUK Petro,UKR,6.2,6.733,,12.933,6.733,ph
24.0,371,HRYKO Vladyslav,UKR,5.6,7.3,,12.9,7.300000000000001,ph
25.0,241,STEELE Adam,IRL,5.0,7.8660000000000005,,12.866,7.866,ph
26.0,278,MUSSAYEV Akim,KAZ,5.2,7.666,,12.866,7.6659999999999995,ph
27.0,155,LIN Chaopan,CHN,5.6,7.266,,12.866,7.266,ph
28.0,194,KANERVA Juho,FIN,5.4,7.316,,12.716,7.315999999999999,ph
29.0,281,LEE Hyeokjung,KOR,5.5,7.2,,12.7,7.199999999999999,ph
30.0,382,YODER Alec,USA,6.3,6.4,,12.7,6.3999999999999995,ph
31.0,310,OCONNELL-INNS Jorden,NZL,5.5,7.191,,12.691,7.191000000000001,ph
32.0,129,GENTGES Maxime,BEL,5.8,6.858,,12.658,6.858,ph
33.0,343,BAUMANN Christian,SUI,5.5,7.132999999999999,,12.633,7.132999999999999,ph
34.0,296,DEURLOO Bart,NED,5.3,7.3,,12.6,7.3,ph
35.0,297,LOUWIJE Bram,NED,5.4,7.2,,12.6,7.199999999999999,ph
36.0,205,BEVAN Brinn,GBR,5.5,7.1,,12.6,7.1,ph
37.0,337,BERTONCELJ Saso,SLO,5.6,7.0,,12.6,7.0,ph
38.0,358,HSU Ping Chien,TPE,5.7,6.8660000000000005,,12.566,6.8660000000000005,ph
39.0,136,LIKHOVITSKIY Andrey,BLR,5.9,6.632999999999999,,12.533,6.632999999999999,ph
40.0,173,GEORGIOU Marios,CYP,5.6,6.832999999999999,,12.433,6.833,ph
41.0,268,KAYA Kazuma,JPN,6.4,6.025,,12.425,6.025,ph
42.0,259,RUSSO Andrea,ITA,4.6,7.8,,12.4,7.800000000000001,ph
43.0,187,ABAD Nestor,ESP,5.1,7.3,,12.4,7.300000000000001,ph
44.0,168,SELIGMAN Robert,CRO,5.2,7.2,,12.4,7.2,ph
