rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore
1,273,UCHIMURA Kohei,JPN,6.4,8.2,,14.6
2,378,MIKULAK Samuel,USA,6.1,8.466000000000001,,14.565999999999999
3,157,XIAO Ruoteng,CHN,6.1,8.333,,14.433
4,300,ZONDERLAND Epke,NED,6.2,8.2,,14.4
5,169,SRBIC Tin,CRO,6.0,8.3,,14.3
6,154,DENG Shudi,CHN,6.1,8.2,,14.3
7,361,TANG Chia-Hung,TPE,6.0,8.2,,14.2
8,331,DALALOYAN Artur,RUS,5.7,8.466000000000001,,14.165999999999999
9,171,LARDUET Manrique,CUB,6.3,7.8660000000000005,,14.165999999999999
10,270,TANAKA Yusuke,JPN,6.0,8.133,,14.133
11,112,BULL Tyson,AUS,5.9,8.166,,14.065999999999999
12,296,DEURLOO Bart,NED,6.1,7.933,,14.033
13,370,SAMILOGLU Umit,TUR,5.9,8.1,,14.0
14,156,SUN Wei,CHN,6.0,8.0,,14.0
15,140,BARRETTO JUNIOR Francisco,BRA,6.1,7.9,,14.0
16,334,NAGORNYY Nikita,RUS,5.8,8.166,,13.966
17,155,LIN Chaopan,CHN,6.2,7.766,,13.966
18,330,BELYAVSKIY David,RUS,5.6,8.333,,13.933
19,172,LERU Randy,CUB,6.1,7.832999999999999,,13.933
20,187,ABAD Nestor,ESP,5.7,8.166,,13.866
21,161,CALVO MORENO Jossimar Orlando,COL,6.3,7.566,,13.866
22,173,GEORGIOU Marios,CYP,5.8,8.0,,13.8
23,144,SOUZA Caio,BRA,5.9,7.9,,13.8
24,236,VECSERNYES David,HUN,5.7,8.066,,13.765999999999998
25,348,YUSOF Eddy,SUI,5.5,8.232999999999999,,13.732999999999999
26,150,PATERSON Cory,CAN,5.7,8.0,,13.7
27,201,DEGOUY Paul,FRA,5.9,7.8,,13.7
28,148,COURNOYER Rene,CAN,5.4,8.2,,13.6
29,102,CORDOBA Nicolas,ARG,5.8,7.8,,13.6
29,343,BAUMANN Christian,SUI,5.8,7.8,,13.6
31,152,ZAKUTNEY Samuel,CAN,5.4,8.133,,13.533
32,174,GEORGIOU Ilias,CYP,5.0,8.5,,13.5
33,207,FRASER Joe,GBR,5.3,8.166,,13.466
33,373,PAKHNIUK Petro,UKR,5.3,8.166,,13.466
35,143,MARIANO Arthur,BRA,5.8,7.666,,13.466
36,203,GOBAUX Julien,FRA,5.1,8.333,,13.433
37,136,LIKHOVITSKIY Andrey,BLR,5.5,7.933,,13.433
38,216,DAUSER Lukas,GER,5.6,7.832999999999999,,13.433
38,258,MACCHINI Carlo,ITA,5.6,7.832999999999999,,13.433
38,275,JANTYKOV Yerbol,KAZ,5.6,7.832999999999999,,13.433
41,166,KOVACEVIC Anton,CRO,5.9,7.5329999999999995,,13.433
42,286,KUZMICKAS Tomas,LTU,5.1,8.3,,13.4
43,256,EDALLI Ludovico,ITA,5.6,7.733,,13.333
44,346,HEGI Oliver,SUI,6.2,7.132999999999999,,13.333
45,268,KAYA Kazuma,JPN,5.5,7.8,,13.3
45,332,KUKSENKOV Nikolai,RUS,5.5,7.8,,13.3
47,329,MUNTEAN Andrei Vasile,ROU,4.9,8.333,,13.232999999999999
48,147,CLAY Zachary,CAN,5.0,8.232999999999999,,13.232999999999999
49,234,KARDOS Botond,HUN,5.1,8.133,,13.232999999999999
50,381,van WICKLEN Colin,USA,5.2,8.0,,13.2
51,379,MODI Akash,USA,5.8,7.3660000000000005,,13.165999999999999
52,344,BRAEGGER Pablo,SUI,5.9,7.266,,13.165999999999999
53,390,le Thanh Tung,VIE,5.0,8.133,,13.133
54,276,KARIMI Milad,KAZ,5.9,7.233,,13.133
55,269,SHIRAI Kenzo,JPN,6.1,7.0329999999999995,,13.133
56,195,KIRMES Oskar,FIN,5.0,8.1,,13.1
57,279,BAE Garam,KOR,5.9,7.166,,13.065999999999999
58,298,RIJKEN Frank,NED,5.3,7.7,,13.0
59,235,SHEPPARD Ryan Macleod,HUN,5.0,7.966,,12.966
60,371,HRYKO Vladyslav,UKR,5.2,7.766,,12.966
61,223,ILIOPOULOS Nikolaos,GRE,5.6,7.3660000000000005,,12.966
62,199,BORELLO Antoine,FRA,5.4,7.5329999999999995,,12.933
63,303,SKJERAHAUG Stian,NOR,4.5,8.4,,12.9
