rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore
1,159,ZOU Jingyuan,CHN,6.6,9.2,,15.8
2,376,VERNIAIEV Oleg,UKR,6.7,8.758,,15.458
3,155,LIN Chaopan,CHN,6.4,8.866,,15.265999999999998
4,161,CALVO MORENO Jossimar Orlando,COL,6.5,8.6,,15.1
5,331,DALALOYAN Artur,RUS,6.4,8.641,,15.040999999999999
6,330,BELYAVSKIY David,RUS,6.4,8.633,,15.033
6,378,MIKULAK Samuel,USA,6.4,8.633,,15.033
8,157,XIAO Ruoteng,CHN,6.2,8.8,,15.0
9,334,NAGORNYY Nikita,RUS,6.4,8.566,,14.966
10,216,DAUSER Lukas,GER,6.3,8.633,,14.933
11,366,ARICAN Ferhat,TUR,6.6,8.266,,14.866
12,270,TANAKA Yusuke,JPN,6.3,8.533,,14.833
13,272,TANIGAWA Wataru,JPN,6.2,8.6,,14.8
13,373,PAKHNIUK Petro,UKR,6.2,8.6,,14.8
15,144,SOUZA Caio,BRA,6.1,8.666,,14.765999999999998
16,156,SUN Wei,CHN,5.7,9.033,,14.732999999999999
17,333,LANKIN Dmitrii,RUS,6.4,8.333,,14.732999999999999
18,268,KAYA Kazuma,JPN,6.3,8.391,,14.690999999999999
19,300,ZONDERLAND Epke,NED,5.9,8.732999999999999,,14.633
20,220,NGUYEN Marcel,GER,6.4,8.166,,14.565999999999999
20,389,DINH Phuong Thanh,VIE,6.4,8.166,,14.565999999999999
22,205,BEVAN Brinn,GBR,5.9,8.625,,14.525
23,380,MOLDAUER Yul,USA,5.9,8.6,,14.5
24,208,HALL James,GBR,6.0,8.466000000000001,,14.466
25,269,SHIRAI Kenzo,JPN,6.2,8.266,,14.466
26,329,MUNTEAN Andrei Vasile,ROU,5.9,8.5,,14.4
27,313,YULO Carlos Edriel,PHI,5.7,8.666,,14.366
28,391,PHAM Phuoc Hung,VIE,6.3,8.066,,14.366
29,282,LEE Junho,KOR,5.7,8.633,,14.333
30,344,BRAEGGER Pablo,SUI,6.3,8.033,,14.333
31,369,ONDER Ahmet,TUR,6.0,8.3,,14.3
32,218,HERDER Philipp,GER,6.1,8.2,,14.3
33,189,MIR Nicolau,ESP,5.5,8.766,,14.265999999999998
34,291,NUNEZ Isaac,MEX,5.6,8.633,,14.232999999999999
35,256,EDALLI Ludovico,ITA,5.8,8.4,,14.2
36,187,ABAD Nestor,ESP,5.5,8.675,,14.175
37,280,KIM Hansol,KOR,5.6,8.533,,14.133
38,136,LIKHOVITSKIY Andrey,BLR,5.5,8.6,,14.1
39,371,HRYKO Vladyslav,UKR,5.7,8.4,,14.1
40,190,LOPEZ Ruben,ESP,5.6,8.466000000000001,,14.065999999999999
41,348,YUSOF Eddy,SUI,6.0,8.066,,14.065999999999999
42,260,SARRUGERIO Marco,ITA,5.5,8.533,,14.033
42,298,RIJKEN Frank,NED,5.5,8.533,,14.033
44,299,SCHMIDT Casimir,NED,5.2,8.766,,13.966
45,286,KUZMICKAS Tomas,LTU,5.4,8.566,,13.966
46,143,MARIANO Arthur,BRA,5.2,8.732999999999999,,13.933
47,150,PATERSON Cory,CAN,5.5,8.433,,13.933
48,174,GEORGIOU Ilias,CYP,5.2,8.7,,13.9
49,152,ZAKUTNEY Samuel,CAN,5.4,8.5,,13.9
50,172,LERU Randy,CUB,5.9,8.0,,13.9
50,207,FRASER Joe,GBR,5.9,8.0,,13.9
52,297,LOUWIJE Bram,NED,5.5,8.366,,13.866
53,206,CUNNINGHAM Dominick,GBR,5.6,8.266,,13.866
53,279,BAE Garam,KOR,5.6,8.266,,13.866
55,258,MACCHINI Carlo,ITA,5.2,8.633,,13.833
56,221,TOBA Andreas,GER,5.3,8.5,,13.8
57,278,MUSSAYEV Akim,KAZ,5.2,8.566,,13.765999999999998
58,284,PARK Minsoo,KOR,5.3,8.466000000000001,,13.765999999999998
59,320,RI Yong Min,PRK,5.8,7.966,,13.765999999999998
60,148,COURNOYER Rene,CAN,5.5,8.232999999999999,,13.732999999999999
61,382,YODER Alec,USA,5.0,8.7,,13.7
62,201,DEGOUY Paul,FRA,5.1,8.6,,13.7
62,223,ILIOPOULOS Nikolaos,GRE,5.1,8.6,,13.7
64,147,CLAY Zachary,CAN,5.6,8.1,,13.7
65,131,KUAVITA Noah,BEL,5.7,8.0,,13.7
66,241,STEELE Adam,IRL,5.0,8.666,,13.665999999999999
67,290,de LUNA Fabian,MEX,5.4,8.266,,13.665999999999999
68,202,FRASCA Loris,FRA,4.9,8.732999999999999,,13.633
69,142,de SOUZA BITENCOURT Lucas,BRA,5.7,7.933,,13.633
70,107,DAVTYAN Artur,ARM,4.5,9.1,,13.6
71,287,TVOROGAL Robert,LTU,5.6,8.0,,13.6
72,232,BABOS Adam,HUN,5.1,8.466000000000001,,13.565999999999999
73,128,TIKHONOV Ivan,AZE,5.3,8.232999999999999,,13.533
73,324,BATAGA Cristian Ioan,ROU,5.3,8.232999999999999,,13.533
75,140,BARRETTO JUNIOR Francisco,BRA,6.0,7.5329999999999995,,13.533
76,129,GENTGES Maxime,BEL,5.1,8.425,,13.525
77,253,SHATILOV Alexander,ISR,4.9,8.6,,13.5
78,163,MARTINEZ MORENO Andres,COL,5.1,8.4,,13.5
79,195,KIRMES Oskar,FIN,5.5,8.0,,13.5
80,179,RADOVESNICKY Daniel,CZE,5.0,8.466000000000001,,13.466
81,259,RUSSO Andrea,ITA,5.4,8.066,,13.466
82,383,ABDURAKHIMOV Rasuljon,UZB,5.7,7.766,,13.466
83,236,VECSERNYES David,HUN,4.8,8.633,,13.433
84,375,VASYLENKO Maksym,UKR,5.3,8.133,,13.433
85,356,PROMMANEE Jamorn,THA,5.4,8.033,,13.433
86,315,ALMEIDA Simao,POR,4.9,8.5,,13.4
87,188,DIALLO Thierno,ESP,5.3,8.066,,13.366
88,309,KOUDINOV Mikhail,NZL,5.6,7.766,,13.366
89,134,VROLIX Jonathan,BEL,5.0,8.333,,13.333
90,254,SOROKINE Michael,ISR,4.7,8.6,,13.3
91,102,CORDOBA Nicolas,ARG,4.6,8.666,,13.265999999999998
92,235,SHEPPARD Ryan Macleod,HUN,5.2,8.033,,13.232999999999999
93,314,AGUIAR BARBOSA Petrix Stevan,POR,5.9,7.325,,13.225
94,120,KRANZLMUELLER Severin,AUT,4.8,8.4,,13.2
95,343,BAUMANN Christian,SUI,6.1,7.1,,13.2
96,249,DOLGOPYAT Artem,ISR,5.0,8.166,,13.165999999999999
97,171,LARDUET Manrique,CUB,5.7,7.466,,13.165999999999999
98,137,SANUVONH Dzianis,BLR,4.7,8.433,,13.133
99,363,YU Chao Wei,TPE,5.0,8.133,,13.133
100,306,DICK Ethan,NZL,5.1,8.033,,13.133
101,132,van den KEYBUS Luka,BEL,5.4,7.733,,13.133
101,392,PHAN Ngoc Hung,VIE,5.4,7.733,,13.133
103,317,HAN Jong Hyok,PRK,5.9,7.233,,13.133
104,303,SKJERAHAUG Stian,NOR,4.8,8.266,,13.065999999999999
105,302,KALVOE Odin,NOR,4.1,8.933,,13.033
106,365,ARCA Mustafa,TUR,4.7,8.333,,13.033
107,222,CHATZIEFSTATHIOU Georgios Christos,GRE,4.9,8.133,,13.033
108,160,CALVO Carlos,COL,5.3,7.733,,13.033
109,227,TANTALIDIS Antonios,GRE,4.1,8.9,,13.0
110,301,HEGGEMSNES Sofus,NOR,4.4,8.6,,13.0
111,115,MORGANS Mitchell,AUS,5.2,7.8,,13.0
