rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore
1,209,WHITLOCK Max,GBR,6.7,8.266,,14.966
2,157,XIAO Ruoteng,CHN,6.1,8.533,,14.633
3,277,KURBANOV Nariman,KAZ,6.2,8.266,,14.466
4,204,TOMMASONE Cyril,FRA,6.1,8.141,,14.241
5,378,MIKULAK Samuel,USA,6,8.133,,14.133
6,334,NAGORNYY Nikita,RUS,5.9,8.1,,14
7,330,BELYAVSKIY David,RUS,6.2,7.8,,14
8,359,LEE Chih Kai,TPE,5.7,8,,13.7
9,346,HEGI Oliver,SUI,5.3,8.2,,13.5
10,284,PARK Minsoo,KOR,5.4,8.1,,13.5
11,140,BARRETTO JUNIOR Francisco,BRA,5.6,7.9,,13.5
12,156,SUN Wei,CHN,5.6,7.841,,13.441
13,349,MICHNAK Slavomir,SVK,6,7.333,,13.333
14,116,REMKES Christopher,AUS,5.9,7.133,,13.033
15,208,HALL James,GBR,6,7.033,,13.033
16,258,MACCHINI Carlo,ITA,5.3,7.7,,13
17,170,UDE Filip,CRO,6.2,6.8,,13
18,274,AZIZOV Ilyas,KAZ,5.4,7.566,,12.966
18,344,BRAEGGER Pablo,SUI,5.4,7.566,,12.966
20,269,SHIRAI Kenzo,JPN,5.5,7.466,,12.966
21,273,UCHIMURA Kohei,JPN,6,6.966,,12.966
22,332,KUKSENKOV Nikolai,RUS,6.4,6.566,,12.966
23,373,PAKHNIUK Petro,UKR,6.2,6.733,,12.933
24,371,HRYKO Vladyslav,UKR,5.6,7.3,,12.9
25,241,STEELE Adam,IRL,5,7.866,,12.866
26,278,MUSSAYEV Akim,KAZ,5.2,7.666,,12.866
27,155,LIN Chaopan,CHN,5.6,7.266,,12.866
28,194,KANERVA Juho,FIN,5.4,7.316,,12.716
29,281,LEE Hyeokjung,KOR,5.5,7.2,,12.7
30,382,YODER Alec,USA,6.3,6.4,,12.7
31,310,OCONNELL-INNS Jorden,NZL,5.5,7.191,,12.691
32,129,GENTGES Maxime,BEL,5.8,6.858,,12.658
