rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore
1,226,PETROUNIAS Eleftherios,GRE,6.3,8.966000000000001,,15.265999999999998
2,145,ZANETTI Arthur,BRA,6.2,8.833,,15.033
3,111,TOVMASYAN Artur,ARM,6.1,8.766,,14.866
4,374,RADIVILOV Igor,UKR,6.3,8.433,,14.732999999999999
5,108,DAVTYAN Vahagn,ARM,6.1,8.566,,14.665999999999999
6,257,LODADIO Marco,ITA,6.3,8.366,,14.665999999999999
7,127,SIMONOV Nikita,AZE,6.0,8.633,,14.633
7,334,NAGORNYY Nikita,RUS,6.0,8.633,,14.633
9,130,GOOSSENS Dennis,BEL,6.2,8.333,,14.533
9,367,COLAK Ibrahim,TUR,6.2,8.333,,14.533
11,144,SOUZA Caio,BRA,6.0,8.433,,14.433
12,290,de LUNA Fabian,MEX,5.9,8.466000000000001,,14.366
13,333,LANKIN Dmitrii,RUS,6.1,8.2,,14.3
14,378,MIKULAK Samuel,USA,5.6,8.6,,14.2
15,154,DENG Shudi,CHN,6.0,8.166,,14.165999999999999
16,157,XIAO Ruoteng,CHN,5.7,8.433,,14.133
17,220,NGUYEN Marcel,GER,5.8,8.333,,14.133
17,221,TOBA Andreas,GER,5.8,8.333,,14.133
17,388,DANG Nam,VIE,5.8,8.333,,14.133
20,118,HOECK Vinzenz,AUT,6.1,8.033,,14.133
21,208,HALL James,GBR,5.8,8.3,,14.1
22,331,DALALOYAN Artur,RUS,5.9,8.2,,14.1
23,272,TANIGAWA Wataru,JPN,6.0,8.0,,14.0
24,268,KAYA Kazuma,JPN,6.1,7.8660000000000005,,13.966
25,156,SUN Wei,CHN,5.9,8.033,,13.933
26,219,KLESSING Nick,GER,5.6,8.3,,13.9
27,259,RUSSO Andrea,ITA,5.7,8.2,,13.9
28,273,UCHIMURA Kohei,JPN,5.9,8.0,,13.9
29,107,DAVTYAN Artur,ARM,5.3,8.566,,13.866
30,369,ONDER Ahmet,TUR,6.0,7.8660000000000005,,13.866
31,329,MUNTEAN Andrei Vasile,ROU,5.9,7.957999999999999,,13.857999999999999
32,260,SARRUGERIO Marco,ITA,5.5,8.333,,13.833
33,155,LIN Chaopan,CHN,5.6,8.232999999999999,,13.833
34,203,GOBAUX Julien,FRA,5.4,8.4,,13.8
35,379,MODI Akash,USA,5.6,8.166,,13.765999999999998
36,284,PARK Minsoo,KOR,5.7,8.066,,13.765999999999998
37,105,MOLINARI Federico,ARG,5.9,7.8660000000000005,,13.765999999999998
38,162,LUGO Didier,COL,6.1,7.666,,13.765999999999998
39,269,SHIRAI Kenzo,JPN,5.7,8.033,,13.732999999999999
40,207,FRASER Joe,GBR,5.4,8.3,,13.7
41,313,YULO Carlos Edriel,PHI,5.5,8.2,,13.7
41,324,BATAGA Cristian Ioan,ROU,5.5,8.2,,13.7
43,187,ABAD Nestor,ESP,5.2,8.466000000000001,,13.665999999999999
44,205,BEVAN Brinn,GBR,5.1,8.5,,13.6
45,296,DEURLOO Bart,NED,5.3,8.3,,13.6
46,190,LOPEZ Ruben,ESP,5.5,8.033,,13.533
46,330,BELYAVSKIY David,RUS,5.5,8.033,,13.533
48,365,ARCA Mustafa,TUR,5.5,8.0,,13.5
48,382,YODER Alec,USA,5.5,8.0,,13.5
50,106,VILLAFANE Daniel,ARG,5.9,7.6,,13.5
51,206,CUNNINGHAM Dominick,GBR,5.4,8.066,,13.466
52,192,ZAPATA Rayderley,ESP,5.7,7.766,,13.466
