rank,ID,Full Name,NOC,Vault,DScore,EScore,Penalty,TotalScore,FinalScore,Vault2,DScore2,EScore2,Penalty2,TotalScore2
1.0,319.0,RI Se Gwang,PRK,1,6.0,9.0,-0.1,14.9,14.966,2,6.0,9.033,,15.033
2.0,331.0,DALALOYAN Artur,RUS,1,5.6,9.166,-0.1,14.665999999999999,14.766,2,5.6,9.266,,14.866
3.0,107.0,DAVTYAN Artur,ARM,1,5.6,9.1,,14.7,14.75,2,5.6,9.2,,14.8
4.0,334.0,NAGORNYY Nikita,RUS,1,5.6,9.133,,14.732999999999999,14.683,2,5.6,9.033,,14.633
5.0,206.0,CUNNINGHAM Dominick,GBR,1,5.4,9.066,,14.466,14.616,2,5.6,9.166,,14.765999999999998
6.0,144.0,SOUZA Caio,BRA,1,5.6,9.033,,14.633,14.583,2,5.6,8.933,,14.533
7.0,269.0,SHIRAI Kenzo,JPN,1,5.6,9.133,,14.732999999999999,14.566,2,5.2,9.2,,14.4
8.0,231.0,SHEK Wai Hung,HKG,1,5.6,9.0,,14.6,14.533,2,5.6,8.966000000000001,-0.1,14.466
9.0,313.0,YULO Carlos Edriel,PHI,1,5.6,9.166,-0.1,14.665999999999999,14.499,2,5.2,9.133,,14.333
10.0,376.0,VERNIAIEV Oleg,UKR,1,5.6,8.766,,14.366,14.499,2,5.6,9.033,,14.633
11.0,272.0,TANIGAWA Wataru,JPN,1,5.6,9.0,,14.6,14.466,2,5.6,8.833,-0.1,14.333
12.0,333.0,LANKIN Dmitrii,RUS,1,5.2,9.166,,14.366,14.333,2,5.6,8.8,-0.1,14.3
13.0,198.0,SAARENKETO Heikki,FIN,1,5.2,9.2,,14.4,14.2,2,4.8,9.2,,14.0
14.0,290.0,de LUNA Fabian,MEX,1,5.2,9.0,,14.2,14.133,2,5.2,8.866,,14.065999999999999
15.0,202.0,FRASCA Loris,FRA,1,5.6,9.232999999999999,,14.833,14.066,2,5.6,7.8,-0.1,13.3
16.0,294.0,VALLE Joshua,MEX,1,5.2,9.166,-0.1,14.265999999999998,13.966,2,4.8,8.866,,13.665999999999999
17.0,311.0,AGUERO Daniel,PER,1,5.2,9.0,,14.2,13.883,2,5.2,8.366,,13.565999999999999
18.0,138.0,SHARAMKOU Yahor,BLR,1,5.2,9.0,-0.1,14.1,13.866,2,5.2,8.433,,13.633
19.0,251.0,MEDVEDEV Andrey,ISR,1,5.6,9.1,,14.7,13.85,2,5.2,7.8,,13.0
20.0,293.0,ROJO Francisco,MEX,1,5.2,8.833,-0.1,13.933,13.849,2,4.8,8.966000000000001,,13.765999999999998
21.0,381.0,van WICKLEN Colin,USA,1,5.6,9.0,,14.6,13.833,2,5.2,7.8660000000000005,,13.065999999999999
22.0,233.0,BONCSER Krisztian,HUN,1,5.2,8.866,,14.065999999999999,13.833,2,4.8,8.9,-0.1,13.6
23.0,116.0,REMKES Christopher,AUS,1,5.6,9.033,,14.633,13.816,2,5.2,7.8,,13.0
24.0,308.0,ELLIS Kyleab,NZL,1,4.8,9.0,,13.8,13.766,2,5.0,8.732999999999999,,13.732999999999999
25.0,228.0,VEGA LOPEZ Jorge,GUA,1,5.6,7.832999999999999,-0.1,13.333,13.749,2,5.2,9.066,-0.1,14.165999999999999
26.0,229.0,JIM Man Hin,HKG,1,5.2,8.466000000000001,,13.665999999999999,13.716,2,4.8,8.966000000000001,,13.765999999999998
27.0,215.0,KUZOVKOV Konstantin,GEO,1,4.8,9.3,,14.1,13.5,2,5.2,7.8,-0.1,12.9
28.0,185.0,NIN REYES Audrys,DOM,1,6.0,7.8,-0.3,13.5,13.333,2,5.6,7.8660000000000005,-0.3,13.165999999999999
29.0,248.0,REINHARDSSON Valgard,ISL,1,5.2,8.333,-0.3,13.232999999999999,13.316,2,5.2,8.3,-0.1,13.4
30.0,390.0,le Thanh Tung,VIE,1,5.6,8.966000000000001,,14.565999999999999,13.266,2,5.2,8.866,-2.1,11.966
31.0,213.0,GOVOROV Dmitrii,GEO,1,5.2,8.033,-0.3,12.933,13.133,2,4.4,8.933,,13.333
32.0,280.0,KIM Hansol,KOR,1,5.2,7.5329999999999995,-0.3,12.433,13.066,2,4.8,9.0,-0.1,13.7
33.0,286.0,KUZMICKAS Tomas,LTU,1,4.8,9.066,,13.866,12.816,2,4.8,8.966000000000001,-2.0,11.765999999999998
34.0,177.0,CERNY Frantisek,CZE,1,4.8,7.766,-0.3,12.265999999999998,12.649,2,4.0,9.033,,13.033
35.0,287.0,TVOROGAL Robert,LTU,1,4.8,8.9,,13.7,12.583,2,2.4,9.066,,11.466
36.0,108.0,DAVTYAN Vahagn,ARM,1,4.0,8.766,-0.1,12.665999999999999,11.283,2,1.6,8.3,,9.9
37.0,242.0,AL-DELFI Azeez,IRQ,1,4.8,7.933,,12.732999999999999,6.366,2,0.0,0.0,,0.0
